1,"Aguascalientes",15,"AGU","Ags","AG"
2,"Baja California",15,"BCN","B.C.","BC"
3,"Baja California Sur",15,"BCS","B.C.S.","BS"
4,"Campeche",15,"CAM","Camp","CM"
5,"Coahuila",15,"COA","Coah","CO"
6,"Colima",15,"COL","Col","CL"
7,"Chiapas",15,"CHP","Chis","CS"
8,"Chihuahua",15,"CHH","Chih","CH"
9,"Distrito Federal",15,"DIF","D.F.","DF"
10,"Durango",15,"DUR","Dgo","DG"
11,"Guanajuato",15,"GUA","Gto","GT"
12,"Guerrero",15,"GRO","Gro","GR"
13,"Hidalgo",15,"HID","Hgo","HG"
14,"Jalisco",15,"JAL","Jal","JA"
15,"México",15,"MEX","Mex","ME"
16,"Michoacán",15,"MIC","Mich","MI"
17,"Morelos",15,"MOR","Mor","MO"
18,"Nayarit",15,"NAY","Nay","NA"
19,"Nuevo León",15,"NLE","N.L.","NL"
20,"Oaxaca",15,"OAX","Oax","OA"
21,"Puebla",15,"PUE","Pue","PB"
22,"Querétaro",15,"QUE","Qro","QT"
23,"Quintana Roo",15,"ROO","Q. Roo","QR"
24,"San Luís Potosí",15,"SLP","S.L.P.","SL"
25,"Sinaloa",15,"SIN","Sin","SI"
26,"Sonora",15,"SON","Son","SO"
27,"Tabasco",15,"TAB","Tab","TB"
28,"Tamaulipas",15,"TAM","Tamps","TM"
29,"Tlaxcala",15,"TLA","Tlax","TL"
30,"Veracruz",15,"VER","Ver","VE"
31,"Yucatán",15,"YUC","Yuc","YU"
32,"Zacatecas",15,"ZAC","Zac","ZA"
